Name,Condition,RecP,Total Count,Recommendations,Acrive Ingredients,Uses,
Gold Bond Ultimate,Diabetic Foot Cream,16%,544186,87069.76,"Avobenzone 3%, Homosalate 5%, Octisalate 4%, Octocrylene 2%",,
Zostrix,Diabetic Neuropathy Products,10%,722542,72254.2,Capsaicin 0.025%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Zostrix,Diabetic Neuropathy Products,10%,722542,72254.2,Capsaicin 0.075%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Biofreeze,Diabetic Neuropathy Products,22%,722542,158959.24,Natural Menthol USP 10%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Diabetic Neuropathy Products,22%,722542,158959.24,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Diabetic Neuropathy Products,22%,722542,158959.24,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Capzasin,Diabetic Neuropathy Products,29%,722542,209537.18,Capsaicin 0.1%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Capzasin,Diabetic Neuropathy Products,29%,722542,209537.18,Capsaicin 0.15%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Capzasin,Diabetic Neuropathy Products,29%,722542,209537.18,Capsaicin 0.035%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Capzasin,Diabetic Neuropathy Products,29%,722542,209537.18,Capsaicin 0.025%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Orajel,Canker Sore Treatments,39%,552577,215505.03,Hydrogen peroxide 1.5%: Oral debriding agent,"['minor dental procedures', 'accidental injury', 'orthodontic appliances', 'canker sores', 'dentures', 'other irritations of the mouth and gums']",
Orajel,Canker Sore Treatments,39%,552577,215505.03,Benzocaine 20%,,
Anbesol,Canker Sore Treatments,20%,552577,110515.4,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Canker Sore Treatments,20%,552577,110515.4,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Canker Sore Treatments,20%,552577,110515.4,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Canker Sore Treatments,20%,552577,110515.4,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Colgate Orabase,Canker Sore Treatments,7 %,552577,38680.39,Benzocaine 20%: Oral Pain Reliever,,
Colgate Orabase,Canker Sore Treatments,7 %,552577,38680.39,Benzocaine 20%: Oral pain reliever,,
Zilactin-B,Canker Sore Treatments,7 %,552577,38680.39,Benzocaine 10%, Oral pain reliever,"['canker sores\xc2\xa0', 'minor mouth sores and gum irritations\xc2\xa0', 'denture and brace pain']"
Zilactin-B,Canker Sore Treatments,7 %,552577,38680.39,"Benzyl alcohol 10%; Cold sore/fever blister treatment, Oral pain reliever","['cold sores/fever blisters\xc2\xa0', 'canker sores, mouth sores\xc2\xa0', 'gum irritations']",
Carmex,Cold Sore Treatments,5 %,761074,38053.7,"Camphor 1.7%
Menthol 0.7%",,
Carmex,Cold Sore Treatments,5 %,761074,38053.7,"Butyl Methoxydibenzoylmethane (Avobenzone) 2.5%; Sunscreen

	Ethylhexyl Salicylate (Octisalate) 3.0%; Sunscreen

	Homosalate 5.0%; Sunscreen

	Octocrylene 4.0%; Sunscreen","['helps prevent sunburn', 'if used as directed with other sun protection measures (see\xc2\xa0Directions), decreases the risk of skin cancer and early skin aging caused by the sun']",
Colgate Orabase,Cold Sore Treatments,1 %,761074,7610.74,Benzocaine 20%: Oral pain reliever,,
Colgate Orabase,Cold Sore Treatments,1 %,761074,7610.74,Benzocaine 20%: Oral Pain Reliever,,
Campho-Phenique,Cold Sore Treatments,2 %,761074,15221.48,Camphorated phenol (camphor 10.8% and phenol 4.7%),"['for temporary relief of pain and itching associated with: insect bites, minor burns, sunburn, minor cuts, scrapes, cold sores', 'first aid to help protect against infection in minor cuts, scrapes, burns']",
Campho-Phenique,Cold Sore Treatments,2 %,761074,15221.48,Camphorated phenol (camphor 10.8% and phenol 4.7%),"['for temporary relief of pain and itching associated with: minor burns, sunburn, minor cuts, scrapes, insect bites, minor skin irritation', 'first aid to help protect against infection in: minor cuts, scrapes, burns']",
Orajel,Cold Sore Treatments,3 %,761074,22832.22,"Benzalkonium chloride, 0.13%
Benzocaine, 5%",,
Orajel,Cold Sore Treatments,3 %,761074,22832.22,Hydrogen peroxide 1.5%: Oral debriding agent,"['minor dental procedures', 'accidental injury', 'orthodontic appliances', 'canker sores', 'dentures', 'other irritations of the mouth and gums']",
Blistex,Cold Sore Treatments,1 %,761074,7610.74,"Dimethicone 2.0% (w/w); Lip protectant
Octinoxate 7.5% (w/w); Sunscreen
Oxybenzone 2.5% (w/w); Sunscreen","['temporarily protects and helps relieve chapped or cracked lips', 'helps prevent sunburn']",
Blistex,Cold Sore Treatments,1 %,761074,7610.74,"Camphor 0.5% (w/w); External analgesic

	Dimethicone 1.1% (w/w); Lip protectant

	Menthol 0.6% (w/w); External analgesic

	Phenol 0.5% (w/w); External analgesic

	 ","['for the temporary relief of pain and itching associated with minor lip irritation or cold sores', 'temporarily protects and helps relieve chapped or cracked lips']",
Blistex,Cold Sore Treatments,1 %,761074,7610.74,"Dimethicone 2.0% (w/w); Lip protectant

	Oxybenzone 2.5% (w/w); Sunscreen

	Padimate O 6.6% (w/w); Sunscreen

	 ","['temporarily protects and helps relieve chapped or cracked lips', 'helps prevent sunburn']",
Blistex,Cold Sore Treatments,1 %,761074,7610.74,"Avobenzone 3.0% (w/w); Sunscreen
Dimethicone 2.0% (w/w); Lip protectant
Octinoxate 7.5% (w/w); Sunscreen
Octocrylene 2.7% (w/w); Sunscreen
Oxybenzone 2.5% (w/w); Sunscreen","['temporarily protects and helps relieve chapped or cracked lips', 'helps prevent sunburn']",
Tom's of Maine,"Toothpaste, General Use",2 %,570508,11410.16,,,
Tom's of Maine,"Toothpaste, General Use",2 %,570508,11410.16,,,
Tom's of Maine,"Toothpaste, General Use",2 %,570508,11410.16,Sodium fluoride 0.24% (0.15% w/v fluoride ion), Anticavity,
Tom's of Maine,"Toothpaste, General Use",2 %,570508,11410.16,Sodium monofluorophosphate 0.76% (0.14% w/v fluoride ion), Anticavity,
Tom's of Maine,"Toothpaste, General Use",2 %,570508,11410.16,Sodium monofluorophosphate 0.76% (0.13% w/v fluoride ion), Anticavity,
Tom's of Maine,"Toothpaste, General Use",2 %,570508,11410.16,Sodium monofluorophosphate 0.76% (0.16% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,"Potassium nitrate 5%; Toothpaste for sensitive teeth
Sodium fluoride 0.243% (0.14% w/v fluoride ion); Toothpaste for cavity prevention","['when used regularly, builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets or contact', 'aids in the prevention of cavities']",
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium fluoride 0.243% (0.16% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium fluoride 0.243% (0.15% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium fluoride 0.243% (0.15% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,"Potassium nitrate 5%; Toothpaste for sensitive teeth
Sodium fluoride 0.243% (0.14% w/v fluoride ion); Toothpaste for cavity prevention","['when used regularly, builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets, or contact', 'aids in the prevention of cavities']",
Crest,"Toothpaste, General Use",36%,570508,205382.88,Stannous fluoride 0.454% (0.15% w/v fluoride ion),"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis']",
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium fluoride 0.243%, Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium fluoride 0.24%, Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,Stannous fluoride 0.454% (0.16% w/v fluoride ion),"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis', 'builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets or contact']",
Crest,"Toothpaste, General Use",36%,570508,205382.88,"Potassium nitrate 5%; Toothpaste for sensitive teeth
Sodium fluoride 0.243% (0.14% w/v fluoride ion); Toothpaste for cavity prevention","['when used regularly, builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets, or contact', 'aids in the prevention of cavities']",
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium Fluoride 0.022% (0.01% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium fluoride 0.243%, Anticavity,
Crest,"Toothpaste, General Use",36%,570508,205382.88,Stannous fluoride 0.454% (0.15% w/v fluoride ion), Anticavity,"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis']"
Crest,"Toothpaste, General Use",36%,570508,205382.88,Stannous fluoride 0.454% (0.16% w/v fluoride ion), Anticavity,"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis', 'builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets, or contact']"
Crest,"Toothpaste, General Use",36%,570508,205382.88,Sodium Fluoride 0.022% (0.01% w/v fluoride ion),,
Scope,Cosmetic Mouthwashes/Oral Rinses,30%,518919,155675.7,Sodium fluoride 0.243%, Anticavity,
Scope,Cosmetic Mouthwashes/Oral Rinses,30%,518919,155675.7,Sodium fluoride 0.243%, Anticavity,
Scope,Cosmetic Mouthwashes/Oral Rinses,30%,518919,155675.7,Sodium fluoride 0.243%, Anticavity,
Anbesol,Toothache Products,21%,791096,166130.16,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Toothache Products,21%,791096,166130.16,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Toothache Products,21%,791096,166130.16,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Toothache Products,21%,791096,166130.16,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Kank-A,Toothache Products,3 %,791096,23732.88,Benzocaine 20.0% (w/w): Oral anesthetic/analgesic,,
Kank-A,Toothache Products,3 %,791096,23732.88,Benzocaine 20.0% (w/w),"['for the temporary relief of pain due to canker sores, minor irritation of the mouth and gums caused by dentures or orthodontic appliances, or minor injury of the mouth or gums']",
Thera-Gesic,Topical Analgesics,3 %,942347,28270.41,"Menthol 1%; Analgesic

	Methyl Salicylate 15%; Counterirritant

	 ","['arthritis', 'simple backaches', 'strains', 'bruises', 'sprains']",
Thera-Gesic,Topical Analgesics,3 %,942347,28270.41,"Menthol 4%; Analgesic

	Methyl Salicylate 25%; Counterirritant

	 ","['arthritis', 'simple backaches', 'strains', 'bruises', 'sprains']",
Biofreeze,Topical Analgesics,30%,942347,282704.1,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Topical Analgesics,30%,942347,282704.1,Natural Menthol USP 10%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Topical Analgesics,30%,942347,282704.1,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Zostrix,Topical Analgesics,1 %,942347,9423.47,Capsaicin 0.075%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Zostrix,Topical Analgesics,1 %,942347,9423.47,Capsaicin 0.025%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Aspercreme,Topical Analgesics,14%,942347,131928.58,Lidocaine HCI 4%, topical analgesic,
Aspercreme,Topical Analgesics,14%,942347,131928.58,Menthol 16%, topical analgesic,"['temporarily relieves minor pain associated with:\r\n\t\t\n\r\n\t\t\t\tarthritis\xc2\xa0\n\r\n\t\t\t\tsimple backache\n\r\n\t\t\t\tmuscle strains\xc2\xa0\n\r\n\t\t\t\tsprains\xc2\xa0\n\r\n\t\t\t\tbruises\xc2\xa0\n\r\n\t\t\t\tcramps', 'arthritis\xc2\xa0', 'simple backache', 'muscle strains\xc2\xa0', 'sprains\xc2\xa0', 'bruises\xc2\xa0', 'cramps']"
Aspercreme,Topical Analgesics,14%,942347,131928.58,Menthol 10%, topical analgesic,"['arthritis\xc2\xa0', 'simple backache', 'muscle strains\xc2\xa0', 'sprains\xc2\xa0', 'bruises\xc2\xa0', 'cramps']"
Salonpas,Topical Analgesics,8 %,942347,75387.76,"Menthol 3%; Topical Analgesic
Methyl salicylate 10% (NSAID, nonsteroidal anti-inflammatory drug); Topical Analgesic","['arthritis', 'sprains', 'strains', 'bruises', 'simple backache']",
Salonpas,Topical Analgesics,8 %,942347,75387.76,"Menthol 7%; Topical Analgesic
Methyl Salicylate 15%; Topical Analgesic","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Capzasin,Topical Analgesics,6 %,942347,56540.82,Capsaicin 0.025%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Capzasin,Topical Analgesics,6 %,942347,56540.82,Capsaicin 0.1%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Capzasin,Topical Analgesics,6 %,942347,56540.82,Capsaicin 0.15%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Capzasin,Topical Analgesics,6 %,942347,56540.82,Capsaicin 0.035%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Bengay,Topical Analgesics,11%,942347,103658.17,"Camphor 4%; Topical analgesic

	Menthol 10%; Topical analgesic

	Methyl salicylate 30%; Topical analgesic

	 ","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Bengay,Topical Analgesics,11%,942347,103658.17,Menthol 5%, topical analgesic,"['simple backache', 'bruises', 'arthritis', 'sprains', 'strains']"
Bengay,Topical Analgesics,11%,942347,103658.17,Menthol 5%, topical analgesic,"['temporarily relieves minor aches and pains of muscles and joints associated with:\r\n\t\t\n\r\n\t\t\t\tsimple backache\n\r\n\t\t\t\tarthritis\n\r\n\t\t\t\tstrains\n\r\n\t\t\t\tbruises\n\r\n\t\t\t\tsprains', 'simple backache', 'arthritis', 'strains', 'bruises', 'sprains']"
Bengay,Topical Analgesics,11%,942347,103658.17,"Menthol 8%; Topical analgesic

	Methyl salicylate 30%; Topical analgesic

	 ","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Bengay,Topical Analgesics,11%,942347,103658.17,Menthol 5%, topical analgesic,"['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']"
Bengay,Topical Analgesics,11%,942347,103658.17,"Menthol 10%; Topical analgesic

	Methyl salicylate 15%; Topical analgesic

	 ","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Tiger Balm,Topical Analgesics,4 %,942347,37693.88,"Methyl Salicylate 15%; Topical Analgesic

	Menthol 5%; Topical Analgesic

	Camphor 3%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,4 %,942347,37693.88,"Camphor 11%; Topical Analgesic

	Menthol 11%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,4 %,942347,37693.88,"Methyl Salicylate 10%; Topical Analgesic

	Menthol 3%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,4 %,942347,37693.88,"Camphor 11%; Topical Analgesic

	Menthol 8%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,4 %,942347,37693.88,"Camphor 80mg / patch; Topical Analgesic

	Menthol 24mg / patch; Topical Analgesic

	Capsicum Extract 16mg / patch; Topical Analgesic

	 ",,
Carmex,Lip Balms,26%,833163,216622.38,"Camphor 1.7%
Menthol 0.7%",,
Carmex,Lip Balms,26%,833163,216622.38,"Butyl Methoxydibenzoylmethane (Avobenzone) 2.5%; Sunscreen

	Ethylhexyl Salicylate (Octisalate) 3.0%; Sunscreen

	Homosalate 5.0%; Sunscreen

	Octocrylene 4.0%; Sunscreen","['helps prevent sunburn', 'if used as directed with other sun protection measures (see\xc2\xa0Directions), decreases the risk of skin cancer and early skin aging caused by the sun']",
Compound W,Wart Removers,60%,404899,242939.4,Salicylic Acid 17% ww, wart remover,"['For the removal of common and plantar warts', 'The common wart is easily recognized by the rough \xe2\x80\x9ccauliflower-like\xe2\x80\x9d appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Compound W,Wart Removers,60%,404899,242939.4,Salicylic Acid 40% ww, wart remover,"['For the removal of common and plantar warts', 'The common wart is easily recognized by the rough cauliflower-like appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and interruption of the footprint pattern']"
Compound W,Wart Removers,60%,404899,242939.4,Salicylic Acid 40% ww, wart remover,"['For the removal of plantar warts on the bottom of the foot', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Compound W,Wart Removers,60%,404899,242939.4,Salicylic Acid 40% ww, wart remover,"['For the removal of common warts and plantar warts', 'The common wart is easily recognized by the rough cauliflower-like appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Compound W,Wart Removers,60%,404899,242939.4,Salicylic Acid 17% ww, wart remover,"['For the removal of common and plantar warts', 'The common wart is easily recognized by the rough cauliflower-like appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Dr. Scholl's Clear Away,Wart Removers,10%,404899,40489.9,Salicylic acid 40%, wart remover,
Dr. Scholl's Clear Away,Wart Removers,10%,404899,40489.9,Salicylic acid 40%, wart remover,
T/Gel,Dandruff Shampoo,13%,573801,74594.13,"Pyrithione Zinc 1%; Anti-Dandruff, Anti-Seborrheic Dermatitis",,
T/Gel,Dandruff Shampoo,13%,573801,74594.13,"Coal Tar 1.0%; Anti-dandruff, anti-seborrheic dermatitis, anti-psoriasis",,
T/Gel,Dandruff Shampoo,13%,573801,74594.13,"Salicylic Acid 2%; Anti-dandruff, anti-seborrheic dermatitis, anti-psoriasis",,
T/Gel,Dandruff Shampoo,13%,573801,74594.13,"Coal Tar 0.5%; Anti-dandruff, anti-seborrheic dermatitis, anti-psoriasis",,
Selsun Blue,Dandruff Shampoo,27%,573801,154926.27,Selenium sulfide 1%, Anti-dandruff shampoo,
Selsun Blue,Dandruff Shampoo,27%,573801,154926.27,Pyrithione zinc 1%, Anti-dandruff shampoo,
Selsun Blue,Dandruff Shampoo,27%,573801,154926.27,Salicylic acid 3%, Anti-dandruff shampoo,
Selsun Blue,Dandruff Shampoo,27%,573801,154926.27,Pyrithione zinc 1%, Anti-dandruff shampoo,
Denorex,Dandruff Shampoo,2 %,573801,11476.02,Coal tar solution 9.0% v/v (equivalent to 1.8% coal tar),"['relieves and helps stop the recurrence of scalp itching, irritation, redness, flaking and scaling associated with dandruff, seborrheic dermatitis and psoriasis', 'extra relief of itching due to dandruff']",
Denorex,Dandruff Shampoo,2 %,573801,11476.02,Salicylic acid 3%,"['Reduces and helps eliminate scalp itching, flaking and scaling associated with dandruff, seborrheic dermatitis and psoriasis', 'Helps prevent recurrence of the symptoms of dandruff, seborrheic dermatitis and psoriasis']",
RectiCare,Hemorrhoidal Preparations,4 %,1108500,44340,Lidocaine 5% w/w, Local anesthetic,
RectiCare,Hemorrhoidal Preparations,4 %,1108500,44340,"Lidocaine 4.3% w/w (as 5% lidocaine HCl); Local anesthetic
Glycerin 20% w/w; protectant","['helps relieve the pain, itching and burning associated with anorectal disorders', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects irritated and inflamed perianal skin']",
Preparation H,Hemorrhoidal Preparations,79%,1108500,875715,"Phenylephrine HCl 0.25%; Vasoconstrictor
Witch Hazel 50.0%; Astringent","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporary relief of irritation and burning', 'temporarily shrinks hemorrhoidal tissue', 'aids in protecting irritated anorectal areas']",
Preparation H,Hemorrhoidal Preparations,79%,1108500,875715,Witch hazel 50.0%, Astringent,"['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporary relief of irritation and burning', 'aids in protecting irritated anorectal areas']"
Preparation H,Hemorrhoidal Preparations,79%,1108500,875715,"Cocoa butter 88.44%; Protectant
Phenylephrine HCl 0.25%; Vasoconstrictor","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporarily relieves burning and shrinks hemorrhoidal tissue', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful']",
Preparation H,Hemorrhoidal Preparations,79%,1108500,875715,"Phenylephrine HCl 0.25%; Vasoconstrictor
Witch hazel 50.0%; Astringent","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporary relief of irritation and burning', 'temporarily shrinks hemorrhoidal tissue', 'aids in protecting irritated anorectal areas']",
Preparation H,Hemorrhoidal Preparations,79%,1108500,875715,"Glycerin 14.4%; Protectant
Phenylephrine HCl 0.25%; Vasoconstrictor
Pramoxine HCl 1%; Local anesthetic
White petrolatum 15%; Protectant","['for temporary relief of pain, soreness and burning', 'helps relieve the local itching and discomfort associated with hemorrhoids', 'temporarily shrinks hemorrhoidal tissue', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful']",
Preparation H,Hemorrhoidal Preparations,79%,1108500,875715,"Mineral oil 14%; Protectant
Petrolatum 74.9%; Protectant
Phenylephrine HCl 0.25%; Vasoconstrictor","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporarily shrinks hemorrhoidal tissue and relieves burning', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful']",
Preparation H,Hemorrhoidal Preparations,79%,1108500,875715,Hydrocortisone 1%, anti-itch,"['temporary relief of external anal itching', 'temporary relief of itching associated with minor skin irritations and rashes', 'other uses of this product should be only under the advice and supervision of a doctor']"
Tucks,Hemorrhoidal Preparations,18%,1108500,199530,"Mineral Oil 46.6%; Protectant
Pramoxine HCl 1%; Pain reliever
Zinc oxide 12.5%; Protectant","['temporarily relieves these local symptoms associated with hemorrhoids or anorectal inflammation:\r\n\t\t\n\r\n\t\t\t\tpain\n\r\n\t\t\t\tsoreness\n\r\n\t\t\t\tburning\n\r\n\t\t\t\titching', 'pain', 'soreness', 'burning', 'itching', 'temporarily forms a protective coating over the inflamed tissues to help prevent drying of tissues']",
Tucks,Hemorrhoidal Preparations,18%,1108500,199530,Pramoxine HCL 1%, pain reliever,"['temporary relieves these local symptoms associated with hemorrhoids:\r\n\t\t\n\r\n\t\t\t\tpain\n\r\n\t\t\t\titching\n\r\n\t\t\t\tdiscomfort', 'pain', 'itching', 'discomfort']"
Tucks,Hemorrhoidal Preparations,18%,1108500,199530,Witch Hazel 50%, astringent,"['temporary relieves the local itching and discomfort associated with hemorrhoids', 'aids in protecting irritated anorectal areas', 'temporarily relieves itching and burning']"
Tucks,Hemorrhoidal Preparations,18%,1108500,199530,Witch Hazel 50%, astringent,"['temporary relieves the local itching and discomfort associated with hemorrhoids', 'aids in protecting irritated anorectal areas', 'temporarily relieves itching and burning']"
Tucks,Hemorrhoidal Preparations,18%,1108500,199530,Topical Starch 51%, protectant,"['temporary relieves these local symptoms associated with hemorrhoids and other anorectal disorders:\r\n\t\t\n\r\n\t\t\t\tpain\n\r\n\t\t\t\titching\n\r\n\t\t\t\tdiscomfort', 'pain', 'itching', 'discomfort', 'temporarily forms a protective coating over inflamed tissues to help prevent drying of tissues', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movement less painful']"
Mederma,Scar Treatments,72%,418259,301146.48,Dimethicone 2%,['Temporarily protects and helps relieve chapped or cracked skin'],
Mederma,Scar Treatments,72%,418259,301146.48,Allantoin 0.5%,,
Mederma,Scar Treatments,72%,418259,301146.48,Allantoin 1%,['Temporarily protects and helps relieve chapped or cracked skin'],
Mederma,Scar Treatments,72%,418259,301146.48,Dimethicone 2%,['temporarily protects and helps relieve chapped or cracked skin'],
Mederma,Scar Treatments,72%,418259,301146.48,"AVOBENZONE 3%
OCTOCRYLENE 10%
OXYBENZONE 6%",,
Nix,Lice Treatments,71%,541216,384263.36,"In each fluid ounce:
Permethrin 280 mg (1%); Lice treatment",,
Nix,Lice Treatments,71%,541216,384263.36,Permethrin 280 mg (1%), lice treatment,
Nix,Lice Treatments,71%,541216,384263.36,"In each fluid ounce:
Permethrin 280 mg (1%); Lice treatment",,
