Name,Condition,Recommendations,Acrive Ingredients,Uses,
BC Pain Relief Powder,Headache Products,20087.63,"Aspirin (NSAID*) 845 mg; Pain reliever

	Caffeine 65 mg; Pain reliever aid


	*Nonsteroidal Anti-Inflammatory Drug

	 ","['Minor arthritis pain', 'Colds', 'Muscular aches', 'Headaches']",
BC Pain Relief Powder,Headache Products,20087.63,"Caffeine 65 mg; Pain reliever aid
Aspirin (NSAID*) 845 mg; Pain reliever/fever reducer

*nonsteroidal anti-inflammatory drug","['temporary relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadaches\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor arthritis pain\n\r\n\t\t\t\tcolds\n\r\n\t\t\t\ttoothaches\n\r\n\t\t\t\tmenstrual cramps', 'headaches', 'muscular aches', 'minor arthritis pain', 'colds', 'toothaches', 'menstrual cramps']",
Motrin,Headache Products,220963.93,"Diphenhydramine citrate 38 mg
Ibuprofen 200 mg (NSAID)*
*nonsteroidal anti-inflammatory drug","['for relief of occasional sleeplessness when associated with minor aches and pains', 'helps you fall asleep and stay asleep']",
Motrin,Headache Products,220963.93,"In each liquid gel
Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)1; pain reliever/fever reducer
(present as the free acid and potassium salt)

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmenstrual cramps', 'headache', 'muscular aches', 'minor pain of arthritis', 'toothache', 'backache', 'the common cold', 'menstrual cramps', 'temporarily reduces fever']",
Motrin,Headache Products,220963.93,"In each tablet
Ibuprofen 200 mg (NSAID)1; pain reliever/fever reducer
1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmenstrual cramps', 'headache', 'muscular aches', 'minor pain of arthritis', 'toothache', 'backache', 'the common cold', 'menstrual cramps', 'temporarily reduces fever']",
Tylenol,Headache Products,441927.86,Acetaminophen 500 mg, Pain reliever/fever reducer,"['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tpremenstrual and menstrual cramps', 'the common cold', 'headache', 'backache', 'minor pain of arthritis', 'toothache', 'muscular aches', 'premenstrual and menstrual cramps', 'temporarily reduces fever']"
Tylenol,Headache Products,441927.86,Acetaminophen 325 mg, pain reliever/fever reducer,"['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tpremenstrual and menstrual cramps', 'headache', 'muscular aches', 'backache', 'minor pain of arthritis', 'the common cold', 'toothache', 'premenstrual and menstrual cramps', 'temporarily reduces fever']"
Tylenol,Headache Products,441927.86,"In each caplet
Acetaminophen 500 mg; pain reliever
Diphenhydramine HCl 25 mg; nighttime sleep aid",,
Tylenol,Oral Anti-Inflammatory Products,46785.72,Acetaminophen 325 mg, pain reliever/fever reducer,"['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tpremenstrual and menstrual cramps', 'headache', 'muscular aches', 'backache', 'minor pain of arthritis', 'the common cold', 'toothache', 'premenstrual and menstrual cramps', 'temporarily reduces fever']"
Tylenol,Oral Anti-Inflammatory Products,46785.72,Acetaminophen 500 mg, Pain reliever/fever reducer,"['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tpremenstrual and menstrual cramps', 'the common cold', 'headache', 'backache', 'minor pain of arthritis', 'toothache', 'muscular aches', 'premenstrual and menstrual cramps', 'temporarily reduces fever']"
Tylenol,Oral Anti-Inflammatory Products,46785.72,"In each caplet
Acetaminophen 500 mg; pain reliever
Diphenhydramine HCl 25 mg; nighttime sleep aid",,
Advil,Oral Anti-Inflammatory Products,1005892.98,"In each caplet
Ibuprofen 200 mg (NSAID)*; Pain reliever/Fever reducer

*nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis', 'headache', 'toothache', 'backache', 'menstrual cramps', 'the common cold', 'muscular aches', 'minor pain of arthritis', 'temporarily reduces fever']",
Advil,Oral Anti-Inflammatory Products,1005892.98,"In each capsule

	Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)* (present as the free acid and potassium salt); Pain reliever/Fever reducer

	 

	*nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis', 'headache', 'toothache', 'backache', 'menstrual cramps', 'the common cold', 'muscular aches', 'minor pain of arthritis', 'temporarily reduces fever']",
Advil,Oral Anti-Inflammatory Products,1005892.98,"Diphenhydramine hydrochloride 25 mg
	Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)* (present as the free acid and potassium salt)
	*Nonsteroidal anti-inflammatory drug",,
Advil,Oral Anti-Inflammatory Products,1005892.98,"In each tablet:
	Diphenhydramine citrate 38 mg; nighttime sleep aid
	Ibuprofen 200 mg (NSAID)*; pain reliever

	*nonsteroidal anti-inflammatory drug","['for relief of occasional sleeplessness when associated with minor aches and pains', 'helps you fall asleep and stay asleep']",
Advil,Oral Anti-Inflammatory Products,1005892.98,"In each tablet
Ibuprofen 200 mg (provided as ibuprofen sodium 256 mg) (NSAID)1
1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis', 'headache', 'toothache', 'backache', 'menstrual cramps', 'the common cold', 'muscular aches', 'minor pain of arthritis', 'temporarily reduces fever']",
Aleve,Oral Anti-Inflammatory Products,608214.36,"In each capsule:
Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)1; pain reliever/fever reducer

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tthe common cold', 'minor pain of arthritis', 'muscular aches', 'backache', 'menstrual cramps', 'headache', 'toothache', 'the common cold', 'temporarily reduces fever']",
Aleve,Oral Anti-Inflammatory Products,608214.36,"In each tablet
Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)1; pain reliever/fever reducer

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tthe common cold', 'minor pain of arthritis', 'muscular aches', 'backache', 'menstrual cramps', 'headache', 'toothache', 'the common cold', 'temporarily reduces fever']",
Aleve,Oral Anti-Inflammatory Products,608214.36,"Diphenhydramine hydrochloride 25 mg
		Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)*
		*nonsteroidal anti-inflammatory drug","['for relief of occasional sleeplessness when associated with minor aches and pains', 'helps you fall asleep and stay asleep']",
Aleve,Oral Anti-Inflammatory Products,608214.36,"In each caplet
Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)1; pain reliever/fever reducer

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tthe common cold', 'minor pain of arthritis', 'muscular aches', 'backache', 'menstrual cramps', 'headache', 'toothache', 'the common cold', 'temporarily reduces fever']",
Aleve,Oral Anti-Inflammatory Products,608214.36,"In each liquid gel:

Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)1; pain reliver/fever reducer
1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tthe common cold', 'minor pain of arthritis', 'muscular aches', 'backache', 'menstrual cramps', 'headache', 'toothache', 'the common cold', 'temporarily reduces fever']",
Bayer,Oral Anti-Inflammatory Products,23392.86,"Aspirin 81 mg; pain reliever/fever reducer
Calcium carbonate 777 mg","['for the temporary relief of minor aches and pains or as recommended by your doctor.', 'ask your doctor about other uses for Bayer Women\xe2\x80\x99s 81 mg Aspirin']",
Bayer,Oral Anti-Inflammatory Products,23392.86,"In each tablet
Aspirin 81 mg (NSAID)*; pain reliever

*nonsteroidal anti-inflammatory drug","['for the temporary relief of minor aches and pains or as recommended by your doctor.\xc2\xa0Because of its delayed action, this product will not provide fast relief of headaches or other symptoms needing immediate relief.', 'ask your doctor about other uses for Bayer Safety Coated 81 mg Aspirin']",
Bayer,Oral Anti-Inflammatory Products,23392.86,"Aspirin 500 mg; pain reliever
Diphenhydramine citrate 38 mg; sleep aid",,
Bayer,Oral Anti-Inflammatory Products,23392.86,"Acetaminophen 250 mg; pain reliever
Aspirin 250 mg; pain reliever
Caffeine 65 mg;  pain reliever",,
Bayer,Oral Anti-Inflammatory Products,23392.86,"In each tablet
Aspirin 500 mg; pain reliever
Caffeine 32.5 mg; pain reliever aid","['backache pain', 'muscle aches and pains', 'minor aches and pains of arthritis']",
Bayer,Oral Anti-Inflammatory Products,23392.86,Aspirin 325 mg, pain reliver/fever reducer,"['headache', 'muscle pain', 'toothache', 'menstrual pain', 'pain and fever of colds', 'minor pain of arthritis']"
Bayer,Oral Anti-Inflammatory Products,23392.86,Aspirin 500 mg, pain reliever/fever reducer,"['headache', 'muscle pain', 'toothache', 'menstrual pain', 'pain and fever of colds', 'minor pain of arthritis']"
Bayer,Oral Anti-Inflammatory Products,23392.86,Buffered Aspirin 500 mg, pain reliever/fever educer,"['headache', 'pain and fever of colds', 'muscle pain', 'menstrual pain', 'toothache', 'minor pain of arthritis']"
Bayer,Oral Anti-Inflammatory Products,23392.86,"In each tablet
Aspirin 81 mg (NSAID)*; pain reliever

*nonsteroidal anti-inflammatory drug","['for the temporary relief of minor aches and pains or as recommended by your doctor', 'ask your doctor about other uses for Bayer 81 mg Cherry Chewable Aspirin']",
Motrin,Oral Anti-Inflammatory Products,631607.22,"Diphenhydramine citrate 38 mg
Ibuprofen 200 mg (NSAID)*
*nonsteroidal anti-inflammatory drug","['for relief of occasional sleeplessness when associated with minor aches and pains', 'helps you fall asleep and stay asleep']",
Motrin,Oral Anti-Inflammatory Products,631607.22,"In each tablet
Ibuprofen 200 mg (NSAID)1; pain reliever/fever reducer
1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmenstrual cramps', 'headache', 'muscular aches', 'minor pain of arthritis', 'toothache', 'backache', 'the common cold', 'menstrual cramps', 'temporarily reduces fever']",
Motrin,Oral Anti-Inflammatory Products,631607.22,"In each liquid gel
Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)1; pain reliever/fever reducer
(present as the free acid and potassium salt)

1nonsteroidal anti-inflammatory drug","['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tminor pain of arthritis\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\tmenstrual cramps', 'headache', 'muscular aches', 'minor pain of arthritis', 'toothache', 'backache', 'the common cold', 'menstrual cramps', 'temporarily reduces fever']",
Diabetic Tussin,Diabetic Cough Products,900041.15,"In each 5ml:
Dextromethorphan HBr 10 mg; cough Suppressant
Guaifenesin 100 mg; expectorant","['temporarily relieves cough', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid bronchial passageways of bothersome mucus']",
Diabetic Tussin,Diabetic Cough Products,900041.15,"In each 5ml:
Guaifenesin 100 mg; expectorant",['helps loosen phlegm (mucus) and thin bronchial secretions to rid bronchial passageways of bothersome mucus'],
Gold Bond Ultimate,Diabetic Foot Cream,87069.76,White petrolatum 45%,"['helps relieve, prevent and temporarily protect chafed, chapped, cracked or windburned skin and lips', 'helps protect from the drying effects of wind and cold weather', 'temporarily protects minor burns, cuts and scrapes']",
Gold Bond Ultimate,Diabetic Foot Cream,87069.76,"Dimethicone 3%
	White petrolatum 30%","['helps relieve, prevent and temporarily protect chafed, chapped, cracked or windburned skin and lips', 'temporarily protects minor burns, cuts and scrapes', 'helps protect from the drying effects of wind and cold weather']",
Gold Bond Ultimate,Diabetic Foot Cream,87069.76,"Dimethicone 3%
White petrolatum 30%","['helps relieve, prevent and temporarily protect chafed, chapped, cracked or windburned skin\xc2\xa0', 'temporarily protects minor burns, cuts, and scrapes', 'helps protect from the drying effects of wind and cold weather']",
Gold Bond Ultimate,Diabetic Foot Cream,87069.76,"Avobenzone 3%, Homosalate 5%, Octisalate 4%, Octocrylene 2%",,
Zostrix,Diabetic Neuropathy Products,72254.2,Capsaicin 0.025%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Zostrix,Diabetic Neuropathy Products,72254.2,Capsaicin 0.075%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Biofreeze,Diabetic Neuropathy Products,158959.24,Natural Menthol USP 10%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Diabetic Neuropathy Products,158959.24,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Diabetic Neuropathy Products,158959.24,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Capzasin,Diabetic Neuropathy Products,209537.18,Capsaicin 0.1%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Capzasin,Diabetic Neuropathy Products,209537.18,Capsaicin 0.15%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Capzasin,Diabetic Neuropathy Products,209537.18,Capsaicin 0.035%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Capzasin,Diabetic Neuropathy Products,209537.18,Capsaicin 0.025%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Orajel,Canker Sore Treatments,215505.03,Hydrogen peroxide 1.5%: Oral debriding agent,"['minor dental procedures', 'accidental injury', 'orthodontic appliances', 'canker sores', 'dentures', 'other irritations of the mouth and gums']",
Orajel,Canker Sore Treatments,215505.03,Benzocaine 20%,,
Anbesol,Canker Sore Treatments,110515.4,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Canker Sore Treatments,110515.4,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Canker Sore Treatments,110515.4,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Canker Sore Treatments,110515.4,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Colgate Orabase,Canker Sore Treatments,38680.39,Benzocaine 20%: Oral Pain Reliever,,
Colgate Orabase,Canker Sore Treatments,38680.39,Benzocaine 20%: Oral pain reliever,,
Zilactin-B,Canker Sore Treatments,38680.39,Benzocaine 10%, Oral pain reliever,"['canker sores\xc2\xa0', 'minor mouth sores and gum irritations\xc2\xa0', 'denture and brace pain']"
Zilactin-B,Canker Sore Treatments,38680.39,"Benzyl alcohol 10%; Cold sore/fever blister treatment, Oral pain reliever","['cold sores/fever blisters\xc2\xa0', 'canker sores, mouth sores\xc2\xa0', 'gum irritations']",
Carmex,Cold Sore Treatments,38053.7,"Camphor 1.7%
Menthol 0.7%",,
Carmex,Cold Sore Treatments,38053.7,"Butyl Methoxydibenzoylmethane (Avobenzone) 2.5%; Sunscreen

	Ethylhexyl Salicylate (Octisalate) 3.0%; Sunscreen

	Homosalate 5.0%; Sunscreen

	Octocrylene 4.0%; Sunscreen","['helps prevent sunburn', 'if used as directed with other sun protection measures (see\xc2\xa0Directions), decreases the risk of skin cancer and early skin aging caused by the sun']",
Colgate Orabase,Cold Sore Treatments,7610.74,Benzocaine 20%: Oral pain reliever,,
Colgate Orabase,Cold Sore Treatments,7610.74,Benzocaine 20%: Oral Pain Reliever,,
Campho-Phenique,Cold Sore Treatments,15221.48,Camphorated phenol (camphor 10.8% and phenol 4.7%),"['for temporary relief of pain and itching associated with: insect bites, minor burns, sunburn, minor cuts, scrapes, cold sores', 'first aid to help protect against infection in minor cuts, scrapes, burns']",
Campho-Phenique,Cold Sore Treatments,15221.48,Camphorated phenol (camphor 10.8% and phenol 4.7%),"['for temporary relief of pain and itching associated with: minor burns, sunburn, minor cuts, scrapes, insect bites, minor skin irritation', 'first aid to help protect against infection in: minor cuts, scrapes, burns']",
Orajel,Cold Sore Treatments,22832.22,"Benzalkonium chloride, 0.13%
Benzocaine, 5%",,
Orajel,Cold Sore Treatments,22832.22,Hydrogen peroxide 1.5%: Oral debriding agent,"['minor dental procedures', 'accidental injury', 'orthodontic appliances', 'canker sores', 'dentures', 'other irritations of the mouth and gums']",
Blistex,Cold Sore Treatments,7610.74,"Dimethicone 2.0% (w/w); Lip protectant
Octinoxate 7.5% (w/w); Sunscreen
Oxybenzone 2.5% (w/w); Sunscreen","['temporarily protects and helps relieve chapped or cracked lips', 'helps prevent sunburn']",
Blistex,Cold Sore Treatments,7610.74,"Camphor 0.5% (w/w); External analgesic

	Dimethicone 1.1% (w/w); Lip protectant

	Menthol 0.6% (w/w); External analgesic

	Phenol 0.5% (w/w); External analgesic

	 ","['for the temporary relief of pain and itching associated with minor lip irritation or cold sores', 'temporarily protects and helps relieve chapped or cracked lips']",
Blistex,Cold Sore Treatments,7610.74,"Dimethicone 2.0% (w/w); Lip protectant

	Oxybenzone 2.5% (w/w); Sunscreen

	Padimate O 6.6% (w/w); Sunscreen

	 ","['temporarily protects and helps relieve chapped or cracked lips', 'helps prevent sunburn']",
Blistex,Cold Sore Treatments,7610.74,"Avobenzone 3.0% (w/w); Sunscreen
Dimethicone 2.0% (w/w); Lip protectant
Octinoxate 7.5% (w/w); Sunscreen
Octocrylene 2.7% (w/w); Sunscreen
Oxybenzone 2.5% (w/w); Sunscreen","['temporarily protects and helps relieve chapped or cracked lips', 'helps prevent sunburn']",
Tom's of Maine,"Toothpaste, General Use",11410.16,,,
Tom's of Maine,"Toothpaste, General Use",11410.16,,,
Tom's of Maine,"Toothpaste, General Use",11410.16,Sodium fluoride 0.24% (0.15% w/v fluoride ion), Anticavity,
Tom's of Maine,"Toothpaste, General Use",11410.16,Sodium monofluorophosphate 0.76% (0.14% w/v fluoride ion), Anticavity,
Tom's of Maine,"Toothpaste, General Use",11410.16,Sodium monofluorophosphate 0.76% (0.13% w/v fluoride ion), Anticavity,
Tom's of Maine,"Toothpaste, General Use",11410.16,Sodium monofluorophosphate 0.76% (0.16% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",205382.88,"Potassium nitrate 5%; Toothpaste for sensitive teeth
Sodium fluoride 0.243% (0.14% w/v fluoride ion); Toothpaste for cavity prevention","['when used regularly, builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets or contact', 'aids in the prevention of cavities']",
Crest,"Toothpaste, General Use",205382.88,Sodium fluoride 0.243% (0.16% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",205382.88,Sodium fluoride 0.243% (0.15% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",205382.88,Sodium fluoride 0.243% (0.15% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",205382.88,"Potassium nitrate 5%; Toothpaste for sensitive teeth
Sodium fluoride 0.243% (0.14% w/v fluoride ion); Toothpaste for cavity prevention","['when used regularly, builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets, or contact', 'aids in the prevention of cavities']",
Crest,"Toothpaste, General Use",205382.88,Stannous fluoride 0.454% (0.15% w/v fluoride ion),"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis']",
Crest,"Toothpaste, General Use",205382.88,Sodium fluoride 0.243%, Anticavity,
Crest,"Toothpaste, General Use",205382.88,Sodium fluoride 0.24%, Anticavity,
Crest,"Toothpaste, General Use",205382.88,Stannous fluoride 0.454% (0.16% w/v fluoride ion),"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis', 'builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets or contact']",
Crest,"Toothpaste, General Use",205382.88,"Potassium nitrate 5%; Toothpaste for sensitive teeth
Sodium fluoride 0.243% (0.14% w/v fluoride ion); Toothpaste for cavity prevention","['when used regularly, builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets, or contact', 'aids in the prevention of cavities']",
Crest,"Toothpaste, General Use",205382.88,Sodium Fluoride 0.022% (0.01% w/v fluoride ion), Anticavity,
Crest,"Toothpaste, General Use",205382.88,Sodium fluoride 0.243%, Anticavity,
Crest,"Toothpaste, General Use",205382.88,Stannous fluoride 0.454% (0.15% w/v fluoride ion), Anticavity,"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis']"
Crest,"Toothpaste, General Use",205382.88,Stannous fluoride 0.454% (0.16% w/v fluoride ion), Anticavity,"['aids in the prevention of cavities', 'helps prevent gingivitis', 'helps interfere with the harmful effects of plaque associated with gingivitis', 'helps control plaque bacteria that contribute to the development of gingivitis', 'builds increasing protection against painful sensitivity of the teeth to cold, heat, acids, sweets, or contact']"
Crest,"Toothpaste, General Use",205382.88,Sodium Fluoride 0.022% (0.01% w/v fluoride ion),,
Scope,Cosmetic Mouthwashes/Oral Rinses,155675.7,Sodium fluoride 0.243%, Anticavity,
Scope,Cosmetic Mouthwashes/Oral Rinses,155675.7,Sodium fluoride 0.243%, Anticavity,
Scope,Cosmetic Mouthwashes/Oral Rinses,155675.7,Sodium fluoride 0.243%, Anticavity,
Anbesol,Toothache Products,166130.16,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Toothache Products,166130.16,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Toothache Products,166130.16,Benzocaine 10%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
Anbesol,Toothache Products,166130.16,Benzocaine 20%, Oral Anesthetic,"['temporarily relieves pain associated with the following mouth and gum irritations:\r\n\t\t\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tsore gums\n\r\n\t\t\t\tcanker sores\n\r\n\t\t\t\tbraces\n\r\n\t\t\t\tminor dental procedures\n\r\n\t\t\t\tdentures', 'toothache', 'sore gums', 'canker sores', 'braces', 'minor dental procedures', 'dentures']"
